Ticker,SecurityName,AssetType,IsETF,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,DividendGrowth6mPct,DividendCV,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
APP,Applovin Corporation - Class A Common Stock,Acao,False,323.96,733.6,298.59,312.01,377.58,46.13,5.8,-55.84,3.31,3.61,32.67,2052158862.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.1,0.0,33.6,2026-09-14 10:56 UTC
CPRI,Capri Holdings Limited Ordinary Shares,Acao,False,13.89,27.66,12.71,13.58,15.34,48.09,7.9,-49.78,4.91,-10.96,50.21,65628781.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.0,0.0,33.6,2026-09-14 10:56 UTC
AAON,"AAON, Inc. - Common Stock",Acao,False,79.8,148.25,73.49,79.07,92.02,43.79,8.4,-46.17,2.33,-8.98,45.13,98514379.0,0.4,0.5,4,4,Trimestral,0.0,0.0,0.5,0.04,83.9,23.8,47.8,2026-09-14 10:56 UTC
TU,Telus Corporation Ordinary Shares,Acao,False,9.1,16.07,9.09,9.67,9.97,30.1,0.1,-43.37,-6.57,-5.99,23.59,74104653.0,0.744,8.18,3,3,Trimestral,41.56,0.32,8.18,0.68,83.9,57.3,67.9,2026-09-14 10:56 UTC
KD,"Kyndryl Holdings, Inc. Common Stock",Acao,False,13.15,32.0,10.59,12.91,12.85,52.05,12.0,-58.91,-1.42,-5.67,42.27,52079377.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,83.9,0.0,33.6,2026-09-14 10:56 UTC
RTO,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),Acao,False,22.37,34.52,22.37,23.51,26.04,27.79,0.0,-35.2,-6.87,-7.18,18.84,37474586.0,0.636,2.84,2,2,Semestral,0.0,0.296,2.84,0.24,83.9,32.7,53.2,2026-09-14 10:56 UTC
STE,STERIS plc (Ireland) Ordinary Shares,Acao,False,210.76,268.65,199.4,229.23,225.42,26.74,16.4,-21.55,-7.08,-10.72,17.84,154077390.0,1.95,0.93,3,3,Trimestral,109.52,0.044,0.93,0.08,83.6,44.4,60.1,2026-09-14 10:56 UTC
SFD,"Smithfield Foods, Inc. - Common Stock",Acao,False,20.26,29.59,20.26,21.96,23.97,21.74,0.0,-31.53,-8.03,-9.84,27.79,38136214.0,1.189,5.87,4,4,Trimestral,275.6,0.092,5.87,0.49,83.6,67.5,73.9,2026-09-14 10:56 UTC
ALC,Alcon Inc. Ordinary Shares,Acao,False,66.03,87.18,62.02,71.69,70.38,28.83,15.9,-24.26,-8.39,-10.19,19.37,118269909.0,0.358,0.54,1,1,Anual/Irregular,0.0,1.0,0.54,0.05,83.4,9.5,39.1,2026-09-14 10:56 UTC
ORCL,Oracle Corporation Common Stock,Acao,False,150.28,328.15,114.99,149.38,140.68,51.05,16.6,-54.2,-2.44,-3.8,48.73,4228908166.0,2.0,1.33,4,4,Trimestral,0.0,0.0,1.33,0.11,83.2,25.3,48.5,2026-09-14 10:56 UTC
ROL,"Rollins, Inc. Common Stock",Acao,False,34.73,65.6,34.54,35.95,38.9,31.06,0.6,-47.06,-2.74,-4.11,18.79,170473049.0,0.732,2.11,4,4,Trimestral,0.0,0.0,2.11,0.18,83.0,29.6,51.0,2026-09-14 10:56 UTC
ALHC,"Alignment Healthcare, Inc. - Common Stock",Acao,False,12.61,24.56,12.61,13.36,16.37,31.32,0.0,-48.66,-6.9,-6.32,32.93,74561360.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,83.0,0.0,33.2,2026-09-14 10:56 UTC
VERX,"Vertex, Inc. - Class A Common Stock",Acao,False,12.26,25.94,10.58,13.34,12.85,40.38,10.9,-52.74,-11.03,-7.47,46.55,25954836.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.9,0.0,33.2,2026-09-14 10:56 UTC
IPGP,IPG Photonics Corporation - Common Stock,Acao,False,79.99,153.91,70.74,77.52,88.08,47.93,11.1,-48.03,4.62,-4.71,49.18,44035977.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.8,0.0,33.1,2026-09-14 10:56 UTC
TNXP,Tonix Pharmaceuticals Holding Corp. - Common Stock,Acao,False,11.87,28.61,9.51,13.04,12.1,40.04,12.4,-58.51,-11.22,-5.04,48.68,5749558.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.8,0.0,33.1,2026-09-14 10:56 UTC
CPRT,"Copart, Inc. - Common Stock",Acao,False,29.95,48.4,27.17,32.6,30.28,39.39,13.1,-38.12,-10.81,1.91,49.35,319259163.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.6,0.0,33.0,2026-09-14 10:56 UTC
CAR,"Avis Budget Group, Inc. - Common Stock",Acao,False,121.74,713.97,87.69,139.03,147.09,29.67,5.4,-82.95,-12.11,-11.13,45.29,47789539.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.6,0.0,33.0,2026-09-14 10:56 UTC
BXMT,"Blackstone Mortgage Trust, Inc. Common Stock",Acao,False,13.35,20.63,13.35,14.01,15.19,29.64,0.0,-35.29,-5.72,-7.93,18.96,33784464.0,1.88,14.08,4,4,Trimestral,-50.0,0.0,14.08,1.17,82.6,68.6,74.2,2026-09-14 10:56 UTC
USNA,"USANA Health Sciences, Inc. Common Stock",Acao,False,15.02,30.84,12.86,14.05,17.79,46.93,12.0,-51.3,4.09,10.2,34.44,3566289.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,82.6,0.0,33.0,2026-09-14 10:56 UTC
KBWD,Invesco KBW High Dividend Yield Financial ETF,ETF,True,11.95,14.71,11.95,12.45,12.39,33.1,0.0,-18.76,-4.09,-6.86,11.74,5180604.0,1.728,14.46,12,12,Mensal,-21.87,0.035,14.46,1.21,82.5,85.0,83.5,2026-09-14 10:56 UTC
NUS,"Nu Skin Enterprises, Inc. Common Stock",Acao,False,4.85,12.84,4.57,4.77,5.01,49.11,3.4,-62.23,3.19,0.0,37.12,2868526.0,0.24,4.95,4,4,Trimestral,0.0,0.0,4.95,0.41,82.5,41.6,58.0,2026-09-14 10:56 UTC
TSCO,Tractor Supply Company - Common Stock,Acao,False,33.01,60.61,29.14,34.82,32.94,40.61,12.3,-45.54,-4.6,-8.74,24.47,359268999.0,0.95,2.88,4,4,Trimestral,2.13,0.018,2.88,0.24,82.4,31.4,51.8,2026-09-14 10:56 UTC
EFX,"Equifax, Inc. Common Stock",Acao,False,169.0,262.33,151.93,184.11,178.95,37.28,15.5,-35.58,-10.62,-8.93,40.5,206157454.0,2.18,1.29,4,4,Trimestral,5.66,0.048,1.29,0.11,82.3,37.5,55.4,2026-09-14 10:56 UTC
